Bitrix ID раздела,Родитель ID,Название,Путь на сайте,Ссылка на сайт,🟥 1С-группа (заполнить)
739,482,Otometrics,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/otometrics,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/otometrics/,
740,482,Palco Laboratories,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/palco-laboratories,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/palco-laboratories/,
741,482,Philips,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/philips,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/philips/,
742,482,Physio-Control,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/physio-control,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/physio-control/,
743,482,Physiomed,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/physiomed,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/physiomed/,
744,482,Pixium,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/pixium,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/pixium/,
745,482,Puritan,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/puritan,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/puritan/,
746,482,Q Core,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/q-core,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/q-core/,
747,482,Rainin,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/rainin,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/rainin/,
748,482,Reichert,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/reichert,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/reichert/,
749,482,ResMed,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/resmed,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/resmed/,
750,482,Respironics,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/respironics,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/respironics/,
